yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
3P5pq-su7-v7mVu-hmlxoQ,33.0,20.0,29.0,62.0,2.0,20.0,13.0,5.0,9.0,,,20.0,3.0,,5.0,,
3V66e_27HUGzaW_kVcyjjg,32.0,14.0,39.0,18.0,1.0,29.0,26.0,1.0,13.0,1.0,6.0,19.0,6.0,1.0,1.0,,1.0
3ZMjCTIGUOkMVLjUJeXmRA,46.0,29.0,43.0,73.0,3.0,41.0,27.0,1.0,35.0,1.0,2.0,33.0,14.0,1.0,2.0,,1.0
3_Qqf53FV-UE0cuVuXBf5A,18.0,11.0,2.0,15.0,,19.0,10.0,2.0,9.0,,,11.0,1.0,,,,
3qjtKYq0WLwbcJpneNfLxg,12.0,6.0,13.0,10.0,,5.0,2.0,,4.0,,,4.0,2.0,,,,
3ysQylsFQj7JNIlQjncQeQ,20.0,6.0,27.0,45.0,5.0,14.0,25.0,3.0,14.0,1.0,1.0,31.0,10.0,,1.0,,
435AFqUlpfkv2MvSHw6S8A,20.0,13.0,9.0,41.0,5.0,14.0,14.0,2.0,15.0,1.0,,17.0,1.0,,1.0,,
4DT7WK-nj6_zueqcXKbkSw,9.0,2.0,7.0,6.0,,8.0,2.0,3.0,,,1.0,3.0,2.0,,,,
4HMXBbZ80YJtfhFWpgZymg,4.0,,3.0,1.0,,6.0,,1.0,,,,4.0,,,,,
4HV_hC25H51ys1pHnSf53A,15.0,1.0,7.0,30.0,,20.0,8.0,10.0,1.0,1.0,,13.0,1.0,,1.0,,
516gtqnFG9C5aORpzHD4zA,13.0,17.0,10.0,45.0,1.0,24.0,18.0,2.0,6.0,,,8.0,14.0,,,,
53TXd8e-ZJ5gzLv8C9sQGA,67.0,62.0,46.0,32.0,3.0,43.0,55.0,3.0,18.0,3.0,7.0,17.0,6.0,1.0,,,1.0
543zy3lE-D7vJ11V6CaJaA,67.0,60.0,44.0,54.0,8.0,40.0,64.0,4.0,24.0,1.0,13.0,57.0,9.0,5.0,3.0,,
5YpB7TebW0tKRhbwEJTNGg,64.0,25.0,41.0,33.0,3.0,68.0,41.0,2.0,10.0,1.0,4.0,21.0,6.0,2.0,,,
5mJOK9xvf1GuKRClgJZN2g,38.0,18.0,47.0,45.0,4.0,20.0,45.0,,13.0,3.0,4.0,40.0,6.0,4.0,,,
5ngjrYkQOUuw07O6qkk1Lw,4.0,1.0,9.0,6.0,1.0,3.0,5.0,2.0,1.0,,,1.0,5.0,,,,
5nttRsGGVgfYHxGFCwEEuQ,65.0,37.0,60.0,31.0,2.0,68.0,34.0,5.0,8.0,1.0,,24.0,6.0,,1.0,,
5oUOPgwX1fyfCpoy2oqKLA,21.0,4.0,23.0,5.0,2.0,22.0,17.0,9.0,5.0,1.0,,12.0,2.0,,1.0,,1.0
6CZWccw-3uTuGbG2FFE-7Q,39.0,17.0,40.0,63.0,6.0,14.0,44.0,3.0,20.0,1.0,6.0,30.0,14.0,,1.0,,
6eiWLIo58e4q1pOt_p6FXQ,12.0,7.0,14.0,14.0,,22.0,2.0,4.0,10.0,,3.0,4.0,,3.0,1.0,,1.0
7200x8GYzQSeBzuiv3_4BA,54.0,25.0,27.0,55.0,6.0,27.0,47.0,5.0,25.0,1.0,5.0,50.0,8.0,,2.0,1.0,1.0
7BCRsCH3dTswfAuNw_4Lcw,31.0,19.0,9.0,24.0,1.0,16.0,8.0,3.0,6.0,,,5.0,3.0,,,,
7PmFprvL0CkcuuwkTgfD0A,12.0,3.0,14.0,17.0,1.0,34.0,10.0,3.0,8.0,,2.0,17.0,2.0,,,,
7VOtHB8Iua_tTuALsUUjgw,3.0,4.0,6.0,11.0,1.0,26.0,7.0,3.0,7.0,1.0,,22.0,2.0,,1.0,,
84wwd6yQtUuYTncZMvEs1A,25.0,11.0,21.0,29.0,,19.0,11.0,3.0,9.0,,,6.0,4.0,,3.0,,
8Va6d8a9QLfsAOEkI7qDig,13.0,4.0,18.0,24.0,4.0,43.0,16.0,,5.0,,1.0,9.0,2.0,,1.0,,1.0
8tk2n3wdXX3oq8lryKfeig,6.0,2.0,6.0,10.0,,2.0,4.0,,1.0,,1.0,3.0,2.0,,,,
9FA1esS8PrZapjaZxlU3gQ,7.0,3.0,24.0,6.0,1.0,25.0,3.0,4.0,4.0,,3.0,13.0,1.0,,,,
9Jiax4wZ94ZmMcMzmpdvJA,22.0,3.0,8.0,19.0,1.0,48.0,7.0,2.0,7.0,,,15.0,2.0,,3.0,,
