yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
SgWS1huKOS9pewAR1QMlLg,,,,,,,1.0,,,,,,,,,,
TGqeG_HnI5UheoZ1eVDFWQ,7.0,2.0,4.0,5.0,,14.0,2.0,1.0,2.0,,,7.0,,,,,
TJYCcAY3SnxAzvcTMnHVvA,45.0,25.0,34.0,8.0,2.0,58.0,31.0,,8.0,2.0,14.0,18.0,4.0,2.0,,,
Tapy0VAUh1lJZA4_fB9zJg,10.0,4.0,5.0,7.0,,6.0,7.0,4.0,2.0,,,11.0,2.0,,,,
TrDQc_Yd4P8GjxUoa5nkVQ,4.0,3.0,22.0,5.0,,10.0,19.0,,10.0,1.0,,7.0,4.0,,1.0,,
TsSDRn2JxVCUcsAMKRaW3A,19.0,3.0,25.0,6.0,,33.0,16.0,,10.0,1.0,3.0,12.0,2.0,,1.0,,
TvVFo5-bW2pKWXHA7lVWUA,60.0,60.0,48.0,34.0,4.0,39.0,48.0,2.0,14.0,1.0,12.0,40.0,10.0,3.0,1.0,,
U0tfep9yNBASTe2zAG6cPw,26.0,12.0,47.0,31.0,4.0,17.0,26.0,,23.0,2.0,,15.0,6.0,,1.0,,
U7jwUu3oJsqQNeRYwpDSvA,2.0,,1.0,1.0,,31.0,3.0,,2.0,,,8.0,,1.0,,,
U9R_sUE9P8EZO9Yx54VlmQ,29.0,17.0,24.0,27.0,,31.0,20.0,1.0,13.0,1.0,4.0,29.0,4.0,,2.0,,
UBiSrFhOA8xHWdGcvT5hmQ,18.0,5.0,10.0,21.0,,19.0,7.0,6.0,7.0,1.0,1.0,7.0,,,1.0,,
UD_Ap7enNn7aPByJkqDZtg,1.0,,1.0,1.0,,10.0,4.0,1.0,,,1.0,8.0,,,,,
UGUUPV-SPp5Wj92gTsqfhA,15.0,3.0,10.0,22.0,5.0,11.0,16.0,2.0,2.0,2.0,,1.0,10.0,,1.0,,
UToNAlfVve0b50dUs2uOWQ,59.0,39.0,46.0,24.0,4.0,55.0,41.0,,12.0,,8.0,34.0,7.0,1.0,1.0,,
UfKOjg9tnbIL1PqSa-TL4w,9.0,4.0,15.0,10.0,2.0,27.0,5.0,,7.0,,,12.0,1.0,,2.0,,
Uo0ZQjylS1PWfjQJ4tPqCQ,4.0,1.0,8.0,7.0,,11.0,4.0,3.0,2.0,1.0,,14.0,,,,,
VHjUduYxeNr3Mb8-KGBeGw,38.0,17.0,22.0,40.0,3.0,60.0,16.0,3.0,9.0,2.0,,10.0,4.0,1.0,1.0,,1.0
W-6JWToQHBvGUbfw6Y-THQ,14.0,3.0,25.0,23.0,3.0,23.0,15.0,1.0,7.0,,10.0,11.0,,,1.0,,
W1ta4KHHO9m_5KCGx2Athw,32.0,10.0,50.0,6.0,1.0,42.0,21.0,,3.0,4.0,23.0,10.0,2.0,3.0,,,
W1wXF-ufqYLtTNBwz8nX_w,17.0,4.0,33.0,28.0,5.0,30.0,16.0,1.0,9.0,,10.0,15.0,,,1.0,,
WCoIW94VWz73_d9Lx9V4RQ,16.0,3.0,11.0,12.0,,26.0,5.0,1.0,6.0,,,7.0,2.0,,,,
WvQkCs_C_HCfGUFUA0_-hQ,8.0,1.0,13.0,1.0,2.0,5.0,3.0,1.0,,,,,,,,,
XGKMeelsF3yPbY-jIZxZRA,19.0,7.0,51.0,22.0,4.0,18.0,14.0,,13.0,,1.0,8.0,,,3.0,,
XQIoT11_Ou5PedBhVruH8A,18.0,8.0,31.0,19.0,2.0,15.0,15.0,2.0,13.0,,,12.0,4.0,1.0,2.0,,
XYSMRBNxdOOvJCkWyCZUfw,6.0,,3.0,6.0,,18.0,4.0,,10.0,,,16.0,3.0,1.0,1.0,,
XZaZKVxWoYJloBZF_ASqoA,2.0,1.0,11.0,7.0,,16.0,3.0,,4.0,,,4.0,,1.0,,,
XxYgUH6A71jd6isB7TtE4w,3.0,1.0,,5.0,1.0,9.0,2.0,2.0,1.0,,,2.0,1.0,,,,
Y1lu8rQMqKTEyD5vOIX9NA,17.0,4.0,54.0,16.0,4.0,27.0,5.0,,7.0,1.0,2.0,19.0,2.0,2.0,1.0,,
Y5VHK5uzYqAPN-UFt6DDUw,19.0,7.0,16.0,3.0,1.0,36.0,8.0,,,1.0,10.0,5.0,,2.0,,1.0,
YB92vXpB2zYM1OA78UzzuQ,22.0,8.0,28.0,19.0,1.0,16.0,11.0,3.0,14.0,,1.0,18.0,2.0,1.0,1.0,,
YNjfOowGIzAgDZTlXuULfA,24.0,13.0,8.0,10.0,1.0,29.0,19.0,,4.0,,4.0,17.0,,,,,
YOoOOlKOvaj-EUIK7X0dtw,7.0,1.0,3.0,4.0,1.0,18.0,9.0,,7.0,,1.0,4.0,2.0,,1.0,,
Ygce6oUeuww37_loxq264g,12.0,6.0,43.0,10.0,,28.0,21.0,,18.0,2.0,7.0,13.0,,,2.0,,
Yk5I73wZ7Quj5Nt1H0vtEg,5.0,4.0,13.0,27.0,5.0,29.0,9.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,1.0
Yud8O7de6u05rPtYmvhiPw,6.0,3.0,1.0,18.0,1.0,4.0,5.0,2.0,1.0,,1.0,1.0,,,,,1.0
Z1LmDLn3OtIZi_hcTSGfjA,24.0,11.0,30.0,11.0,2.0,42.0,25.0,2.0,18.0,,4.0,15.0,2.0,1.0,1.0,,
Z5RrD-Ocjbm4YX34F6FAMQ,60.0,39.0,50.0,38.0,3.0,38.0,39.0,,15.0,1.0,17.0,47.0,5.0,1.0,,,
ZH6NIvlnK48s8eyoY2UjRw,35.0,21.0,27.0,33.0,2.0,28.0,14.0,1.0,21.0,,,29.0,3.0,,,,
ZKVjYlqszGYhR8Ogs0sw4A,27.0,6.0,47.0,9.0,,43.0,30.0,,14.0,1.0,17.0,10.0,3.0,2.0,,,
ZVuno8nH-XdNxfKcIPJCBA,60.0,35.0,44.0,8.0,1.0,60.0,49.0,,11.0,2.0,18.0,26.0,7.0,2.0,,,
ZgjCUSm-El-zEGdRm769nQ,14.0,5.0,9.0,11.0,,33.0,7.0,,5.0,1.0,2.0,18.0,2.0,,4.0,,
ZvGLepkwp4mBmQES-v2Cww,8.0,2.0,2.0,12.0,,10.0,5.0,4.0,,,,,,,,,
Zy6qyMe_3LjLd_u-8op_tw,6.0,,7.0,6.0,1.0,28.0,5.0,3.0,4.0,,,18.0,,,,,
_3LhPRuwGwLbsFq9ovdtrw,25.0,8.0,39.0,36.0,4.0,43.0,21.0,,12.0,,10.0,18.0,1.0,1.0,2.0,,
_QyTjZdBMMhjpVRXYLNllg,2.0,1.0,1.0,4.0,,3.0,3.0,1.0,,,,1.0,,,,,
_deWPcuQ1JlJGvkvJrIXHg,16.0,9.0,5.0,22.0,1.0,14.0,13.0,3.0,3.0,1.0,,,6.0,,1.0,,
_oMDRU4VSgzGKlTJyfmMzQ,36.0,12.0,60.0,8.0,1.0,58.0,40.0,,14.0,2.0,21.0,18.0,4.0,1.0,,,
_pty06KHXlHXsrY9x41VwA,10.0,6.0,3.0,3.0,,14.0,3.0,1.0,3.0,,1.0,1.0,4.0,,,,
