yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,train_station
T5foGw4XpJp7Er_l9ksuLg,16.0,13.0,39.0,27.0,7.0,10.0,24.0,2.0,12.0,2.0,1.0,9.0,2.0,,,
T7XmistL2pQrW3hY3oTpng,23.0,10.0,45.0,14.0,9.0,41.0,43.0,,8.0,1.0,9.0,7.0,2.0,,1.0,1.0
TGqeG_HnI5UheoZ1eVDFWQ,7.0,2.0,4.0,5.0,,14.0,2.0,1.0,2.0,,,7.0,,,,
TYYGcnXz5CjTOCZDgFquRw,7.0,1.0,4.0,24.0,,10.0,4.0,4.0,5.0,,,9.0,1.0,,1.0,
TgFUSRFSgfNhzi-2ZWC8Ug,37.0,1.0,18.0,7.0,,26.0,28.0,2.0,4.0,,9.0,13.0,5.0,,1.0,
ThZHcBCmVj7RBzTZewAkrA,26.0,14.0,56.0,45.0,3.0,41.0,58.0,1.0,15.0,4.0,3.0,18.0,10.0,,1.0,1.0
TofRTCAfrXcvf7BYx0tqkQ,9.0,1.0,,8.0,,34.0,2.0,,3.0,,,10.0,,,1.0,
TrZzOXywqYQImtdvqLYDyQ,20.0,6.0,32.0,26.0,4.0,37.0,19.0,2.0,11.0,1.0,3.0,15.0,,,,
Tttm1r5Dw1sRMCfc3EQWPw,32.0,23.0,26.0,15.0,2.0,60.0,38.0,,8.0,,4.0,18.0,4.0,2.0,1.0,
Tyn-UqOTpVHtZAgrB0lWyQ,60.0,41.0,26.0,17.0,1.0,60.0,60.0,,9.0,,6.0,25.0,3.0,2.0,2.0,
U4xVvEtBs2Dn0wm8jDfMIA,45.0,8.0,58.0,49.0,6.0,46.0,41.0,2.0,16.0,3.0,2.0,22.0,1.0,,2.0,
UGUUPV-SPp5Wj92gTsqfhA,15.0,3.0,10.0,22.0,5.0,11.0,16.0,2.0,2.0,2.0,,1.0,10.0,,1.0,
ULznZoVOyFb2mrYGV0ULsA,16.0,8.0,3.0,18.0,1.0,5.0,6.0,3.0,1.0,1.0,,4.0,4.0,,2.0,
UTVDbZv-qiHU06sDkoel3g,8.0,1.0,6.0,8.0,2.0,21.0,9.0,,2.0,,2.0,18.0,,,,
UVHUFlMM0oV21cBwPyTVSw,12.0,,13.0,1.0,,11.0,13.0,,,,6.0,6.0,4.0,,,
Ug9a63OBRBje0796bFFPgA,16.0,9.0,33.0,8.0,,24.0,27.0,2.0,17.0,,1.0,14.0,2.0,,1.0,1.0
Uh932p9MfAXppaXbFPkykA,2.0,,3.0,,,8.0,2.0,,,,,2.0,,,,
UjeOgcv831QTChTP04-Uag,55.0,18.0,58.0,38.0,5.0,57.0,30.0,,7.0,1.0,6.0,17.0,2.0,,7.0,
Uo0ZQjylS1PWfjQJ4tPqCQ,4.0,1.0,8.0,7.0,,11.0,4.0,3.0,2.0,1.0,,14.0,,,,
UoDpuMVth1qUVapDz6caXQ,50.0,27.0,60.0,40.0,15.0,32.0,60.0,1.0,7.0,1.0,6.0,16.0,13.0,,3.0,1.0
UzaMrsDMM7xmxtWLPTrmKw,43.0,14.0,60.0,48.0,13.0,30.0,60.0,1.0,12.0,2.0,4.0,15.0,13.0,,3.0,1.0
V496H0yYm75UcFdrmr1Zlw,46.0,11.0,60.0,60.0,8.0,41.0,57.0,2.0,10.0,6.0,13.0,30.0,21.0,1.0,3.0,
V5djfyrGoC65ZAmixE0dWg,60.0,18.0,60.0,60.0,7.0,43.0,60.0,,19.0,7.0,13.0,27.0,28.0,1.0,3.0,
