yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
ExvoimQ4LzY3UWtZ6m6Lgw,60.0,60.0,60.0,60.0,32.0,56.0,60.0,,60.0,3.0,11.0,60.0,26.0,4.0,3.0,,1.0
EzPfEs-eRQWfYcXCM8P18Q,6.0,3.0,5.0,7.0,1.0,9.0,4.0,1.0,3.0,,1.0,3.0,,,2.0,,
F0dV1dQWQ2DsT1EtSVgdnQ,24.0,16.0,20.0,46.0,,34.0,11.0,,15.0,2.0,,15.0,4.0,1.0,2.0,,1.0
F3D79doGI1mTzHb3wx4ttw,45.0,19.0,26.0,60.0,3.0,27.0,14.0,1.0,14.0,1.0,,14.0,5.0,,3.0,,
F3Zznc4UYAfbdiTgb09-NA,5.0,,,5.0,,19.0,2.0,,,,,4.0,,,,,
F7YMlbH8SbcK0BnmPgmnXw,21.0,5.0,32.0,58.0,,22.0,26.0,6.0,13.0,,,17.0,2.0,,2.0,1.0,
FB54mrBmi0h6ZESQw8yOOw,12.0,6.0,19.0,36.0,1.0,13.0,8.0,5.0,5.0,,1.0,15.0,,,4.0,1.0,
FB_OAdrjwQjbmwc3blJkug,1.0,,2.0,4.0,,,1.0,,2.0,,,1.0,,,,,
FC6TeKytD8-eyF2zlXJ--A,13.0,3.0,16.0,5.0,,14.0,12.0,2.0,6.0,,,28.0,,2.0,2.0,,
FCl5446Rovk1HRHoXpojdg,60.0,60.0,60.0,60.0,17.0,60.0,60.0,,56.0,7.0,8.0,45.0,15.0,5.0,2.0,,
FCms-eFFxnpMLm09AJridQ,7.0,,13.0,8.0,1.0,22.0,10.0,,5.0,1.0,2.0,41.0,2.0,2.0,1.0,,
FER-iaOyA8JFH-DL5vaKIQ,33.0,7.0,23.0,41.0,,30.0,16.0,,3.0,,,25.0,,2.0,2.0,,
FKzpfWUpyupl4q74Jt8fTA,60.0,31.0,60.0,52.0,5.0,22.0,60.0,,30.0,15.0,10.0,60.0,17.0,4.0,3.0,,
FNefMcMVL_53ANzMMhMQaQ,6.0,4.0,5.0,12.0,,5.0,4.0,,6.0,,,7.0,1.0,,,,1.0
FON3TceJNsTC0I0mzBwOKg,60.0,60.0,60.0,60.0,21.0,60.0,60.0,1.0,29.0,6.0,12.0,54.0,28.0,3.0,2.0,,
FQgIJTmrP7a5JANyTUMFkw,47.0,15.0,60.0,60.0,14.0,29.0,60.0,,33.0,4.0,12.0,60.0,6.0,4.0,3.0,,
FUYl8KCvKR5ycny_jkh4mg,3.0,2.0,,1.0,,,,1.0,,,,,,,,,
FXBrt0VpeBRengdd4fBOZw,12.0,,7.0,7.0,,23.0,5.0,6.0,4.0,,,16.0,,1.0,2.0,,
FZpm4_fbd6P984foOUejWg,60.0,60.0,60.0,60.0,34.0,59.0,60.0,,60.0,3.0,16.0,60.0,34.0,4.0,4.0,,1.0
FhK_owSqLZLLqtFLzjK-fQ,58.0,20.0,50.0,60.0,9.0,35.0,33.0,,28.0,,7.0,45.0,3.0,3.0,5.0,,
FhXjAc6nKLf414KxYujUHw,5.0,,27.0,9.0,3.0,21.0,10.0,2.0,7.0,,4.0,13.0,1.0,1.0,1.0,,
FiRB9Ek3Xo9JHwXgBYITYg,31.0,11.0,60.0,60.0,14.0,18.0,55.0,,24.0,9.0,16.0,34.0,8.0,4.0,2.0,,
Fia0SHN93u8ihtdrDoVJWQ,24.0,14.0,18.0,35.0,1.0,18.0,8.0,2.0,2.0,,,13.0,1.0,,4.0,,
FizBsTIAJwNrImIG1mPDcg,60.0,34.0,60.0,60.0,32.0,32.0,60.0,1.0,60.0,8.0,11.0,60.0,11.0,1.0,7.0,,
Fk495HaokZDrGkAG8s_dlg,26.0,5.0,14.0,36.0,,41.0,16.0,,7.0,1.0,,29.0,1.0,2.0,3.0,,
FliyHfin979wf72xfu9a5w,16.0,1.0,7.0,9.0,,13.0,5.0,5.0,3.0,,,13.0,,1.0,1.0,,
FpFa7ev55vcg5vwej6o-8A,14.0,7.0,7.0,25.0,,27.0,19.0,,1.0,,,16.0,9.0,2.0,2.0,,
FrM_ZvVGPHcAGmuqKYFTxA,45.0,19.0,33.0,60.0,4.0,20.0,16.0,1.0,14.0,1.0,,11.0,4.0,,1.0,,
FuwuGPaw5tEWPLzR2vYTbw,50.0,19.0,33.0,60.0,4.0,20.0,16.0,2.0,13.0,1.0,,14.0,5.0,,3.0,,
FwMyv3CVIxbI6ngodw7s3w,20.0,4.0,,20.0,,14.0,9.0,3.0,1.0,,,10.0,,2.0,4.0,,
G-op2xLJqocfg1AwJNge8Q,60.0,37.0,60.0,60.0,17.0,17.0,60.0,,37.0,3.0,15.0,48.0,26.0,6.0,10.0,,
