yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
2W8wW8Uy8iO-XHgpr5JV7g,16.0,7.0,11.0,47.0,2.0,13.0,8.0,5.0,15.0,1.0,,15.0,4.0,,,,
2Ym3ghKTFdaSTbaCFI4hqA,10.0,7.0,4.0,47.0,,6.0,5.0,3.0,14.0,1.0,1.0,4.0,,,1.0,,
2b33zawwQ4UMtQA_sN1F4A,2.0,,,2.0,,7.0,2.0,1.0,2.0,,,6.0,,,,,
2c-WVw1SiBtqP2yT_r5J7Q,4.0,3.0,1.0,10.0,,11.0,4.0,1.0,4.0,1.0,,2.0,5.0,,2.0,,
2c1SMNMJaj5kZksBQ7h8Hg,9.0,4.0,2.0,,,3.0,2.0,,,,,,2.0,,1.0,,
2cNmmr9yzdnNPppwExt9SQ,19.0,23.0,9.0,12.0,3.0,21.0,17.0,2.0,6.0,3.0,1.0,6.0,6.0,,,,
2hWFIL6qJI6FgqmKdXLFKA,4.0,1.0,12.0,8.0,2.0,12.0,5.0,2.0,1.0,,1.0,1.0,,,1.0,,
2htjmDvv4amWRw_-4d5zXw,3.0,,3.0,2.0,,2.0,2.0,,,,,4.0,,,,,
2i8mFrVF55s-v5-90_cQ2Q,5.0,1.0,3.0,1.0,,13.0,3.0,,1.0,,,4.0,1.0,,,,
2nCn6VFInrxNVss8NXCjtA,7.0,9.0,2.0,27.0,5.0,9.0,14.0,3.0,,,,2.0,6.0,,3.0,,
2olt6pTua1gxBTv_uVLp8A,23.0,2.0,27.0,7.0,1.0,20.0,9.0,2.0,3.0,3.0,4.0,12.0,5.0,,2.0,,
2pekjvoZQckzFxwpnpDJaw,7.0,8.0,1.0,4.0,,3.0,4.0,1.0,2.0,,,3.0,,,,,
2wg_JVCISbqgapfOqadEFA,11.0,4.0,5.0,20.0,,11.0,11.0,,12.0,1.0,,15.0,,,,,
2yJWU_tGG78q2L50ZFH66w,11.0,6.0,12.0,22.0,3.0,14.0,9.0,1.0,4.0,2.0,1.0,19.0,2.0,,1.0,,
2yTisMkNDVEvrwrkDwYv4g,7.0,1.0,5.0,5.0,1.0,9.0,2.0,2.0,4.0,,,2.0,1.0,,1.0,,
30l_XL9erNlbDgbcX52HzQ,13.0,5.0,14.0,11.0,1.0,19.0,9.0,,8.0,2.0,3.0,15.0,2.0,,1.0,,
38YJz-x2_HSxG_z7afggOg,3.0,,2.0,16.0,,10.0,5.0,,,,1.0,6.0,,,,,
39iwPcHx0Thae-vBzNlHNA,5.0,2.0,,7.0,1.0,5.0,2.0,,1.0,,,6.0,,,,,
3ECZI0UqG-DT_qa23SqQ-w,23.0,19.0,10.0,56.0,1.0,21.0,12.0,1.0,10.0,2.0,,12.0,2.0,,1.0,,
3NjFerQQQsPrDDp5vGGCrg,,,1.0,2.0,,9.0,2.0,1.0,2.0,,,6.0,,,,,
3Q14-C_JLb2iI8G301YA9g,13.0,5.0,3.0,42.0,2.0,11.0,4.0,2.0,12.0,,,7.0,7.0,,,,
3QvG8vOZOZl99UjrsivYJg,7.0,,21.0,,,4.0,13.0,,,1.0,3.0,,5.0,,,,
3SZfyc9Nd3t6vYCkDiQ3rQ,9.0,3.0,1.0,20.0,,9.0,6.0,,6.0,,,5.0,3.0,,,,
3Tfkr7eD4wvd_zr7IhBCwQ,42.0,7.0,60.0,39.0,,31.0,23.0,,13.0,7.0,8.0,24.0,9.0,1.0,4.0,,
3U4jrBwg4LSXZjvmLDKbWw,,,1.0,1.0,1.0,2.0,1.0,,3.0,,,3.0,1.0,,,,
3cVXqb-P0S_fGorOdPbA4Q,11.0,3.0,6.0,16.0,,14.0,8.0,4.0,2.0,2.0,,6.0,7.0,,1.0,,
3dLp_YnTfKe3VrDCUa2COg,15.0,7.0,2.0,7.0,2.0,1.0,3.0,1.0,3.0,1.0,,4.0,6.0,,1.0,,
3dmkjDqnsp__V5kxsq6rOA,12.0,2.0,3.0,20.0,1.0,24.0,5.0,1.0,3.0,2.0,2.0,6.0,2.0,,,,
3hP294WGDgTA6VnL8CAWug,17.0,1.0,19.0,19.0,1.0,10.0,3.0,,8.0,1.0,1.0,4.0,2.0,,1.0,,
3jwJVUxKrTxLu4aucZLDmg,9.0,2.0,3.0,11.0,,7.0,7.0,3.0,1.0,1.0,,3.0,2.0,,,,
3k9IF4Q-QmLh8glJS5ESCQ,39.0,14.0,47.0,52.0,1.0,60.0,45.0,1.0,18.0,3.0,1.0,18.0,18.0,,2.0,,
3koCc0K6LMvOfcAYnKVTog,3.0,2.0,1.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,
3lxENNPj-97-V3fQoEqAiA,22.0,13.0,13.0,33.0,2.0,25.0,24.0,2.0,9.0,7.0,3.0,17.0,2.0,,3.0,,
3mGaY3IALyBzwM5oue6CLQ,30.0,6.0,57.0,39.0,,27.0,19.0,,12.0,4.0,8.0,19.0,6.0,1.0,2.0,,
3n3D8WCVKDgMLYlL0Tv8Tg,35.0,7.0,56.0,29.0,,32.0,23.0,1.0,11.0,4.0,7.0,24.0,6.0,1.0,2.0,,
3phxTdpbfft719D1Xd_2gw,14.0,5.0,14.0,60.0,,10.0,9.0,2.0,14.0,,,6.0,4.0,,2.0,,
3pu410Sc-05F4uFh417XqQ,25.0,4.0,42.0,30.0,7.0,34.0,30.0,1.0,14.0,2.0,3.0,18.0,7.0,,1.0,,
3rwvEpZQdj12IJOjhlEOQA,11.0,14.0,3.0,1.0,,8.0,4.0,,5.0,,,5.0,1.0,,,,
3tf35qNtcBglCvdJu4V0Bg,5.0,,2.0,4.0,,23.0,1.0,2.0,,,,1.0,1.0,,,1.0,
