yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,train_station
ZJw7_sCOfaUmib1Q0vBAZA,37.0,17.0,39.0,45.0,6.0,21.0,53.0,1.0,14.0,3.0,2.0,37.0,5.0,3.0,2.0,1.0
ZZoP396jgh6zK7PdZbHfPg,20.0,9.0,36.0,22.0,2.0,11.0,18.0,1.0,9.0,,6.0,11.0,2.0,1.0,1.0,
_98MfEQ67r9-V78gmy8_Pg,38.0,23.0,34.0,60.0,3.0,29.0,26.0,,32.0,,2.0,26.0,7.0,1.0,,1.0
_RWkck7niE8VJG3zLXK2ig,60.0,60.0,44.0,39.0,7.0,26.0,60.0,2.0,23.0,1.0,13.0,53.0,7.0,5.0,1.0,
_S4j-74ZR4MUkWdiMlBoFQ,4.0,1.0,3.0,8.0,,11.0,1.0,3.0,,,,1.0,,,1.0,
_VEQpntwiMLUbNPLvxvwzA,60.0,60.0,60.0,38.0,9.0,26.0,60.0,1.0,23.0,1.0,13.0,52.0,13.0,5.0,1.0,
_muVoNc4H_H_557WJvVWWQ,29.0,13.0,39.0,40.0,2.0,23.0,31.0,,19.0,3.0,3.0,42.0,3.0,2.0,,
_nPHDeWqacE5BVbGvRgIrg,60.0,60.0,59.0,52.0,10.0,29.0,60.0,2.0,26.0,1.0,6.0,36.0,8.0,3.0,3.0,1.0
_vsgjhqs356JqeAPsP6XOQ,6.0,2.0,7.0,10.0,1.0,6.0,4.0,,3.0,,1.0,9.0,,,,
a1MOjLJXAIVmYZ2cG5gKCw,15.0,8.0,24.0,4.0,1.0,14.0,18.0,,6.0,1.0,4.0,8.0,2.0,,,
aVS9DWS7GUcF6oExGmYnlg,21.0,11.0,24.0,10.0,8.0,19.0,26.0,,10.0,1.0,1.0,40.0,3.0,1.0,,
aqNd1SaHTNGATIOy24sYxQ,18.0,3.0,15.0,17.0,,16.0,10.0,1.0,10.0,,,12.0,,,2.0,
bgV_tFbmVDKBxZni2my7XA,13.0,4.0,3.0,11.0,,20.0,3.0,2.0,2.0,,,8.0,,,1.0,
boK3cyDPLmwNUV97doMCNA,19.0,7.0,35.0,22.0,2.0,10.0,18.0,1.0,9.0,,6.0,11.0,2.0,1.0,,
bqC8cTtPJmSAW6NUVHV9YQ,2.0,,2.0,,,10.0,2.0,1.0,3.0,,1.0,6.0,,1.0,,
c3V_1Dakp0UspkZayn0AjQ,17.0,3.0,16.0,20.0,,18.0,12.0,1.0,11.0,,,13.0,,,1.0,
cCAAA6871M0K_EHZidkKmQ,21.0,15.0,38.0,9.0,1.0,16.0,24.0,,8.0,1.0,7.0,9.0,2.0,,,
ck8Id2EaJ20Alj0N8UMvBQ,6.0,2.0,7.0,11.0,1.0,6.0,5.0,,3.0,,1.0,15.0,,,1.0,
daDNnPM1VGJzymFw90-CDA,18.0,7.0,9.0,26.0,3.0,23.0,2.0,2.0,9.0,1.0,4.0,8.0,1.0,,2.0,1.0
djb7jPPMwVOBfCE5K7Ilog,15.0,11.0,9.0,34.0,5.0,6.0,12.0,1.0,14.0,1.0,,17.0,1.0,,1.0,
dy-XO6rRE1cAMMrpMDQRrw,34.0,14.0,45.0,43.0,4.0,18.0,43.0,,10.0,3.0,4.0,38.0,6.0,4.0,,
dz2OSto01aMIWkGHXd8lOg,36.0,23.0,29.0,60.0,3.0,26.0,25.0,,30.0,,4.0,33.0,7.0,1.0,,1.0
eWzMs5B_Eht6i5zF0CrXFg,4.0,2.0,1.0,12.0,,20.0,4.0,3.0,3.0,,,5.0,1.0,,,
eqr5t-Py3oOhIuukz27dEA,12.0,4.0,4.0,2.0,,23.0,6.0,1.0,1.0,1.0,,,1.0,,1.0,1.0
et8Pwzjy2vjRhETAgEZ1Lg,17.0,5.0,12.0,1.0,,14.0,6.0,,1.0,,,2.0,,,,
fEKzWC1sbfZSElp46FoNag,60.0,49.0,39.0,26.0,7.0,22.0,55.0,1.0,20.0,,11.0,48.0,7.0,5.0,1.0,
frTp4FF8-pxlAUREcMpStA,14.0,9.0,5.0,19.0,,6.0,4.0,2.0,5.0,,,12.0,,,,1.0
gCsidBqhALICug9E2AphCw,33.0,21.0,35.0,43.0,2.0,31.0,26.0,,29.0,,5.0,32.0,8.0,1.0,,1.0
gvdQwBeV6bOCOvTKxVmTcg,7.0,2.0,13.0,30.0,2.0,22.0,4.0,2.0,5.0,1.0,1.0,11.0,,,1.0,
h4Un3Tw0yKn7uCLseO7Bvg,9.0,3.0,12.0,,,14.0,4.0,,1.0,,,,,,,
