,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
284,98108,24700,5477,3239,169,9316,170,49,960,2994,76.9%,,10.0%,6.9%,29.7 minutes,37.7%,45.8%,1.2%,5.7%,9.5%
285,98109,26277,16150,819,126,1674,59,38,784,1065,99.6%,,35.0%,3.3%,24.6 minutes,51.0%,36.1%,0.6%,2.4%,9.8%
286,98110,23914,20370,93,89,735,42,35,774,887,100.3%,,33.7%,3.0%,44.2 minutes,17.7%,63.6%,0.5%,4.9%,13.3%
287,98112,23413,17133,1134,46,1144,20,35,789,776,101.4%,,39.7%,3.6%,23.8 minutes,39.8%,47.1%,0.9%,2.4%,9.8%
288,98115,50978,36621,894,167,4394,63,119,2006,1942,100.3%,,35.5%,3.1%,27.0 minutes,37.9%,49.6%,0.7%,3.3%,8.5%
289,98116,25595,18735,400,136,1050,40,46,845,989,99.1%,,24.4%,3.3%,28.0 minutes,30.8%,50.6%,1.2%,4.1%,13.3%
290,98117,33150,26393,502,181,1546,31,74,1102,1536,100.2%,,27.5%,3.3%,29.4 minutes,31.3%,54.2%,1.0%,4.3%,9.2%
291,98118,45326,11919,10845,185,13855,354,96,2037,3440,82.6%,,14.8%,6.7%,32.2 minutes,38.6%,43.9%,2.1%,5.1%,10.4%
292,98121,14888,8491,852,127,1790,44,24,492,808,99.4%,,34.0%,3.0%,23.3 minutes,53.8%,33.3%,0.8%,1.2%,10.9%
293,98122,35953,18883,5220,236,2997,106,80,1584,2348,96.6%,,27.2%,2.9%,26.1 minutes,59.5%,28.1%,1.3%,2.0%,9.0%
294,98126,22956,13707,2382,176,1823,137,39,914,1520,93.1%,,17.5%,3.7%,30.9 minutes,34.0%,47.1%,1.6%,5.0%,12.3%
295,98134,859,335,98,33,102,4,4,26,42,82.6%,,12.7%,12.5%,32.0 minutes,62.4%,12.7%,1.8%,8.9%,14.2%
296,98136,16320,12300,347,79,663,37,22,584,738,99.5%,,23.5%,2.5%,30.5 minutes,28.8%,52.6%,0.9%,3.8%,13.8%
297,98144,30521,10776,4798,199,6540,99,59,1355,3055,87.0%,,17.5%,3.3%,27.0 minutes,43.6%,38.7%,1.9%,4.9%,10.9%
298,98166,21319,14259,603,147,1170,170,60,718,3174,92.7%,,14.2%,3.8%,27.7 minutes,27.1%,53.1%,1.6%,5.0%,13.1%
299,98168,33072,13647,3869,367,5878,899,87,1502,7485,79.2%,,6.1%,5.5%,26.9 minutes,36.4%,44.6%,2.3%,5.3%,11.5%
300,98178,26627,6604,6934,148,6844,229,58,1494,1781,84.4%,,9.3%,4.4%,33.7 minutes,37.6%,42.9%,2.6%,6.5%,10.3%
301,98188,25269,9484,4255,196,3422,824,66,1072,3792,84.9%,,4.8%,5.9%,29.1 minutes,36.5%,45.2%,2.5%,4.6%,11.3%
302,98198,37295,18266,3623,353,3730,904,45,1458,6205,84.3%,,7.6%,5.2%,29.7 minutes,35.4%,45.3%,2.2%,5.4%,11.7%
303,98199,21318,16347,304,73,1247,49,47,750,869,99.6%,,29.0%,3.3%,27.2 minutes,31.8%,54.5%,0.6%,3.7%,9.5%
304,98332,17454,13866,230,133,448,37,16,505,620,96.5%,,18.3%,6.1%,30.8 minutes,21.5%,60.9%,1.1%,6.1%,10.4%
305,98335,26200,21807,222,149,632,86,39,770,1220,98.4%,,21.3%,4.1%,28.2 minutes,23.5%,59.8%,0.8%,5.9%,10.0%
306,98338,27241,20187,525,271,425,209,60,1055,1366,92.5%,,4.8%,5.5%,42.3 minutes,24.4%,57.6%,1.5%,4.3%,12.3%
307,98372,25205,18678,337,246,794,130,26,841,1423,93.2%,,7.7%,4.4%,31.5 minutes,28.8%,49.1%,1.5%,5.0%,15.6%
308,98373,23213,16781,847,227,1147,277,35,1252,1680,94.5%,,6.0%,8.0%,31.7 minutes,31.2%,50.3%,1.5%,3.5%,13.6%
309,98374,39485,29451,1164,317,1635,273,100,1825,2595,95.3%,,10.5%,6.7%,35.8 minutes,28.2%,55.1%,1.1%,5.4%,10.1%
310,98387,46079,28828,3479,407,2103,1222,54,3076,4004,90.0%,,5.0%,6.3%,36.2 minutes,29.7%,53.4%,1.7%,4.2%,10.9%
311,98390,10977,8638,111,98,221,43,7,345,998,92.2%,,5.9%,4.5%,29.2 minutes,30.5%,44.1%,2.2%,6.1%,17.1%
312,98402,6109,4010,913,154,396,37,11,296,539,89.6%,,18.5%,9.1%,25.6 minutes,48.8%,22.2%,3.0%,3.4%,22.6%
313,98403,7869,6239,396,81,214,21,16,350,396,96.7%,,24.1%,5.1%,23.7 minutes,44.0%,35.7%,0.9%,2.3%,17.0%
314,98404,34608,13638,3794,958,4134,521,54,2357,6630,78.4%,,3.8%,7.3%,29.3 minutes,35.8%,42.2%,2.4%,4.6%,15.1%
315,98405,24471,13242,4139,332,1158,214,68,1784,1914,86.9%,,7.8%,7.9%,26.8 minutes,39.7%,36.3%,2.3%,5.2%,16.6%
316,98406,23364,17301,1028,164,797,95,33,1080,1112,95.3%,,16.2%,4.0%,26.0 minutes,34.0%,45.6%,1.2%,6.3%,13.0%
317,98407,21653,16337,748,131,678,51,42,916,982,95.3%,,16.0%,5.0%,27.2 minutes,28.0%,49.7%,1.9%,4.6%,15.8%
318,98408,19865,11028,1926,300,1608,277,28,1456,2207,85.6%,,3.8%,4.7%,28.4 minutes,34.7%,41.9%,2.6%,6.9%,14.0%
319,98409,23746,11606,3673,287,1719,394,53,1901,3356,84.5%,,4.4%,6.5%,27.4 minutes,38.3%,37.3%,3.3%,4.6%,16.4%
320,98422,21175,13904,1170,255,2132,187,33,1068,1402,95.2%,,14.0%,4.9%,32.4 minutes,26.1%,57.5%,1.4%,3.3%,11.6%
321,98444,35269,16450,3952,414,3815,1311,70,2375,5569,81.6%,,2.7%,9.0%,28.7 minutes,42.2%,36.9%,2.0%,5.0%,13.9%
322,98466,27491,19107,2264,205,1508,218,43,1841,1758,96.5%,,11.2%,7.0%,26.8 minutes,30.5%,47.5%,1.3%,5.8%,14.9%
323,98498,28010,17075,2858,232,2362,438,79,1962,2540,92.1%,,10.0%,5.9%,28.8 minutes,27.4%,50.6%,1.6%,6.9%,13.6%
324,98499,31069,13834,3518,338,2952,972,81,2042,6013,86.5%,,6.7%,9.5%,27.2 minutes,31.9%,43.1%,3.8%,5.1%,16.1%
325,98513,34664,22083,1595,660,2406,468,69,1840,2854,94.4%,,10.8%,6.0%,26.5 minutes,23.9%,59.7%,1.0%,4.2%,11.1%
326,98569,6213,5103,50,115,103,11,7,205,190,94.4%,,6.0%,13.2%,24.5 minutes,18.4%,57.4%,3.1%,6.6%,14.6%
327,98571,648,386,4,45,5,1,0,27,15,99.6%,,3.5%,,34.3 minutes,47.6%,42.2%,0.0%,10.2%,0.0%
328,98941,799,856,4,9,5,0,0,21,24,89.5%,,6.4%,4.6%,23.8 minutes,24.0%,51.5%,2.7%,8.7%,13.0%
